player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
TyTy Washington Jr.,PG,22.0,MIL,9.0,0.0,3.9,0.7,0.1,0.3,0.4,0.1,0.2,0.0,0.2,0.1,0.2,1.2,0.182,0.2,0.4,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.1,60.0,118.0,-0.3,3.5,10.1,6.9,3.4,2.8,0.0,15.4,16.2,-0.1,0.0,-0.1,-0.151,-10.4,-1.7,-12.1,-0.1,2,0.613,2024
Wendell Moore Jr.,SG,22.0,MIN,24.0,0.0,3.0,0.6,0.0,0.4,0.4,0.3,0.2,0.0,0.1,0.2,0.3,0.7,0.438,0.0,0.3,0.0,0.3,0.4,0.7,0.0,0.0,0.0,0.568,0.583,0.109,0.069,117.0,104.0,105.0,104.0,101.0,100.0,45.0,17.0,-11.4,89.0,108.0,7.8,0.0,16.6,8.8,11.2,3.6,1.3,15.8,11.9,-0.1,0.2,0.1,0.042,-6.5,3.6,-2.9,0.0,2,0.688,2024
Juan Toscano-Anderson,SF,30.0,SAC,11.0,0.0,4.8,0.6,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.0,0.0,0.0,0.527,0.556,0.168,0.573,91.0,102.0,92.0,96.0,105.0,96.0,69.0,145.0,-2.4,85.0,117.0,2.7,8.9,23.7,16.1,9.0,0.9,1.7,14.3,11.4,-0.1,0.1,0.0,-0.026,-8.8,-0.7,-9.5,-0.1,9,0.563,2024
Alondes Williams,SG,24.0,MIA,5.0,0.0,2.6,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.2,0.0,0.4,0.0,0.2,0.6,0.333,0.2,0.2,1.0,0.539,0.569,0.344,0.134,112.0,108.0,38.0,99.0,86.0,98.0,140.0,34.0,-41.4,51.0,122.0,-5.8,0.0,9.7,4.8,0.0,0.0,0.0,15.5,22.3,-0.1,0.0,-0.1,-0.28,-13.9,-5.5,-19.4,-0.1,8,0.55,2024
Jalen Slawson,SF,24.0,SAC,11.0,0.0,3.0,0.5,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.6,0.3,0.5,0.6,0.0,0.2,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.468,0.504,0.231,0.47,82.0,80.0,92.0,86.0,97.0,87.0,94.0,119.0,-15.1,99.0,116.0,5.9,3.6,22.8,12.9,7.5,1.5,2.8,28.6,9.1,0.0,0.0,0.0,0.036,-8.0,1.2,-6.8,0.0,9,0.563,2024
E.J. Liddell,PF,23.0,NOP,8.0,0.0,2.9,0.5,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.3,0.3,1.0,0.566,0.592,0.272,0.485,102.0,113.0,94.0,104.0,91.0,102.0,111.0,123.0,-13.3,56.0,102.0,4.5,0.0,25.4,12.8,5.2,4.3,8.6,22.5,16.9,-0.1,0.1,0.0,-0.091,-8.7,4.0,-4.7,0.0,6,0.6,2024
Usman Garuba,PF,21.0,GSW,5.0,0.0,2.4,0.4,0.6,0.0,0.6,0.2,0.2,0.2,0.4,0.4,0.2,1.0,0.2,0.0,0.2,0.0,0.2,0.8,0.25,0.0,0.0,0.0,0.592,0.613,0.137,0.532,101.0,99.0,116.0,108.0,108.0,106.0,56.0,135.0,-75.5,66.0,114.0,1.7,30.5,0.0,15.1,10.2,4.2,7.5,28.6,24.9,-0.1,0.0,-0.1,-0.243,-12.6,-3.2,-15.8,0.0,8,0.563,2024
Pat Spencer,PG,27.0,GSW,5.0,0.0,2.2,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.6,215.0,128.0,10.2,0.0,0.0,0.0,22.4,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.149,-2.0,-1.4,-3.4,0.0,8,0.563,2024
Maxwell Lewis,SF,21.0,LAL,33.0,0.0,3.1,0.3,0.1,0.1,0.1,0.2,0.1,0.0,0.3,0.2,0.1,0.6,0.2,0.0,0.2,0.125,0.1,0.4,0.25,0.1,0.1,0.667,0.618,0.66,0.309,0.176,127.0,128.0,46.0,113.0,109.0,114.0,126.0,45.0,-37.2,53.0,124.0,-3.0,2.5,2.3,2.4,6.9,1.0,0.9,29.7,13.1,-0.4,0.0,-0.4,-0.18,-9.8,-3.0,-12.8,-0.3,10,0.563,2024
Justin Jackson,SF,28.0,MIN,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.441,0.133,0.8,70.0,122.0,68.0,79.0,64.0,76.0,54.0,203.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-6.2,-1.2,-7.4,0.0,2,0.688,2024
