player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
Donovan Mitchell,SG,27.0,CLE,54.0,54.0,35.3,26.5,0.8,4.3,5.1,6.1,1.8,0.6,2.8,2.1,9.1,19.7,0.462,3.3,9.0,0.368,5.8,10.7,0.542,5.0,5.8,0.863,0.474,0.511,0.247,0.711,74.0,66.0,95.0,87.0,96.0,88.0,101.0,180.0,8.7,118.0,114.0,22.0,2.9,14.6,8.9,28.5,2.6,1.4,11.3,31.7,3.1,2.8,5.9,0.15,4.6,1.2,5.8,3.8,4,0.588,2024
Stephen Curry,PG,35.0,GSW,73.0,73.0,32.7,26.3,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,8.7,19.5,0.449,4.8,11.8,0.406,3.9,7.7,0.515,4.1,4.4,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,20.7,1.9,14.5,8.2,24.6,1.1,1.1,11.5,31.6,5.2,1.7,6.9,0.138,6.3,-1.1,5.1,4.3,8,0.563,2024
Anthony Edwards,SG,22.0,MIN,77.0,76.0,35.2,26.3,0.7,4.8,5.5,5.2,1.3,0.5,3.0,1.7,9.2,20.0,0.462,2.5,6.8,0.362,6.8,13.2,0.514,5.3,6.4,0.833,0.489,0.541,0.323,0.575,83.0,86.0,92.0,89.0,102.0,93.0,132.0,146.0,3.6,114.0,112.0,19.9,2.5,16.1,9.6,24.7,1.8,1.3,11.7,32.7,2.5,4.6,7.1,0.126,3.0,0.5,3.5,3.8,2,0.688,2024
Trae Young,PG,25.0,ATL,52.0,52.0,36.2,26.1,0.4,2.3,2.8,10.8,1.4,0.2,4.3,2.1,8.1,19.0,0.429,3.3,8.8,0.373,4.8,10.2,0.476,6.6,7.7,0.857,0.519,0.538,0.106,0.259,102.0,101.0,80.0,95.0,104.0,93.0,43.0,66.0,-0.6,119.0,124.0,20.3,1.3,8.0,4.5,45.0,1.9,0.5,16.2,31.0,3.6,0.7,4.3,0.109,5.0,-2.2,2.7,2.2,10,0.45,2024
Tyrese Maxey,PG,23.0,PHI,68.0,68.0,37.6,25.9,0.5,3.2,3.7,6.3,1.0,0.5,1.7,2.1,9.1,20.3,0.448,3.0,8.1,0.37,6.1,12.2,0.5,4.7,5.4,0.87,0.541,0.57,0.165,0.57,96.0,120.0,83.0,99.0,108.0,98.0,67.0,144.0,4.9,122.0,120.0,19.7,1.6,10.3,5.9,27.0,1.3,1.1,6.8,28.2,5.3,2.0,7.4,0.138,4.1,-1.1,2.9,3.2,7,0.563,2024
Kyrie Irving,SG,31.0,DAL,58.0,58.0,35.0,25.6,0.8,4.2,5.0,5.2,1.3,0.5,1.8,1.9,9.7,19.5,0.497,3.0,7.3,0.411,6.7,12.2,0.548,3.3,3.6,0.905,0.551,0.568,0.12,0.591,93.0,98.0,103.0,101.0,99.0,98.0,49.0,150.0,6.3,123.0,118.0,21.9,2.6,14.3,8.5,23.6,1.8,1.2,8.0,28.4,4.6,2.0,6.6,0.157,4.8,0.1,4.9,3.6,5,0.625,2024
LeBron James,PF,39.0,LAL,69.0,69.0,35.1,25.5,0.8,6.4,7.2,8.2,1.2,0.5,3.4,1.1,9.6,17.8,0.538,2.1,5.1,0.412,7.5,12.7,0.589,4.2,5.6,0.747,0.561,0.593,0.32,0.02,118.0,103.0,91.0,103.0,92.0,102.0,131.0,5.0,9.8,120.0,117.0,23.4,3.0,20.9,12.4,37.2,1.6,1.3,14.3,29.4,4.8,2.7,7.6,0.15,5.5,0.9,6.4,5.1,10,0.563,2024
Ja Morant,PG,24.0,MEM,9.0,9.0,35.3,25.1,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,5.8,7.1,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,117.0,119.0,20.6,2.1,17.2,9.3,42.5,1.1,1.5,12.0,30.7,0.5,0.3,0.8,0.115,2.7,0.4,3.1,0.4,13,0.338,2024
Anthony Davis,C,30.0,LAL,74.0,74.0,35.5,24.5,3.1,9.5,12.6,3.5,1.2,2.4,2.1,2.3,9.3,16.8,0.554,0.4,1.4,0.28,8.9,15.5,0.578,5.5,6.7,0.816,0.509,0.543,0.303,0.428,92.0,92.0,95.0,93.0,90.0,94.0,124.0,108.0,5.8,125.0,111.0,25.6,11.2,30.8,21.5,15.4,1.6,5.8,9.4,26.8,6.3,4.6,10.9,0.198,3.4,1.7,5.1,4.7,10,0.563,2024
Damian Lillard,PG,33.0,MIL,72.0,72.0,35.4,24.4,0.5,3.9,4.4,7.0,1.0,0.3,2.7,1.9,7.5,17.5,0.427,3.1,8.6,0.356,4.4,9.0,0.495,6.4,7.0,0.92,0.595,0.637,0.273,0.462,105.0,105.0,113.0,109.0,111.0,110.0,111.0,117.0,11.5,122.0,120.0,19.7,1.7,13.0,7.5,29.0,1.4,0.6,11.4,28.6,5.5,1.9,7.4,0.14,3.5,-1.3,2.2,2.7,2,0.613,2024
Julius Randle,PF,29.0,NYK,46.0,46.0,35.4,24.0,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,5.1,6.6,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,115.0,117.0,18.9,7.5,24.7,16.1,22.8,0.8,0.7,14.1,30.1,1.8,1.8,3.7,0.108,2.2,-0.2,2.0,1.7,3,0.6,2024
LaMelo Ball,PG,22.0,CHO,22.0,22.0,32.3,23.9,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,4.1,4.7,0.865,0.25,0.272,0.167,0.417,53.0,79.0,0.0,46.0,64.0,47.0,68.0,105.0,1.6,111.0,120.0,20.8,4.7,14.5,9.5,43.1,2.8,0.5,15.0,34.6,0.4,0.6,1.0,0.064,3.8,-0.5,3.3,0.9,13,0.25,2024
DeMar DeRozan,SF,34.0,CHI,78.0,78.0,37.7,23.9,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.1,8.2,17.1,0.48,0.9,2.8,0.33,7.3,14.2,0.51,6.6,7.7,0.854,0.545,0.593,0.27,0.539,95.0,103.0,97.0,100.0,112.0,102.0,110.0,137.0,1.1,124.0,120.0,19.6,1.6,12.4,6.9,22.0,1.5,1.5,7.7,26.0,6.4,2.2,8.6,0.14,2.0,-0.4,1.7,2.7,9,0.475,2024
Desmond Bane,SG,25.0,MEM,42.0,42.0,34.4,23.7,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,3.3,3.8,0.87,0.551,0.574,0.256,0.323,103.0,97.0,108.0,101.0,87.0,99.0,105.0,82.0,-0.7,115.0,119.0,18.4,2.8,12.8,7.6,29.4,1.5,1.4,11.7,28.8,1.5,1.3,2.8,0.093,3.0,-0.3,2.8,1.7,13,0.338,2024
Kawhi Leonard,SF,32.0,LAC,68.0,68.0,34.3,23.7,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,9.0,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,3.7,4.2,0.885,0.474,0.598,0.526,0.474,78.0,55.0,121.0,87.0,128.0,103.0,215.0,120.0,11.8,126.0,116.0,23.2,4.7,17.2,11.2,16.9,2.4,2.3,8.5,26.8,5.8,2.8,8.6,0.177,4.9,0.6,5.5,4.4,4,0.638,2024
Lauri Markkanen,PF,26.0,UTA,55.0,55.0,33.1,23.2,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,7.8,16.2,0.48,3.2,8.0,0.399,4.6,8.2,0.559,4.5,5.0,0.899,0.62,0.629,0.38,0.038,131.0,118.0,0.0,113.0,77.0,108.0,155.0,10.0,9.9,130.0,122.0,21.5,8.1,21.2,14.7,9.5,1.4,1.3,7.1,25.3,5.0,1.0,6.0,0.158,5.1,-1.5,3.6,2.6,12,0.375,2024
Jaylen Brown,SF,27.0,BOS,70.0,70.0,33.5,23.0,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,9.0,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,3.0,4.3,0.703,0.522,0.56,0.234,0.401,93.0,84.0,113.0,96.0,104.0,97.0,95.0,102.0,-7.2,114.0,114.0,18.6,4.3,14.2,9.5,16.7,1.8,1.4,10.7,29.1,2.2,3.4,5.6,0.115,0.9,-0.2,0.7,1.6,1,0.775,2024
Zion Williamson,PF,23.0,NOP,68.0,68.0,31.4,23.0,1.8,4.1,5.8,5.0,1.0,0.7,2.8,2.3,9.0,15.5,0.577,0.1,0.2,0.333,8.9,15.3,0.581,5.0,7.1,0.704,0.535,0.551,0.113,0.534,91.0,86.0,109.0,98.0,97.0,95.0,46.0,135.0,-5.2,120.0,115.0,22.9,6.7,15.1,10.9,26.6,1.6,2.1,12.9,29.8,4.3,2.8,7.1,0.159,3.6,0.5,4.1,3.3,6,0.6,2024
Paul George,PF,33.0,LAC,73.0,73.0,34.2,22.8,0.5,4.8,5.3,3.6,1.5,0.5,2.1,2.8,7.9,16.9,0.47,3.3,8.0,0.412,4.6,8.8,0.523,3.6,4.0,0.907,0.25,0.287,0.1,0.75,42.0,73.0,36.0,46.0,128.0,50.0,41.0,190.0,13.6,120.0,117.0,19.3,1.9,17.0,9.7,16.1,2.3,1.3,10.1,26.9,4.1,2.8,6.9,0.133,2.8,0.2,3.0,3.2,4,0.638,2024
Cade Cunningham,PG,22.0,DET,62.0,62.0,33.5,22.7,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,3.8,4.4,0.869,0.59,0.621,0.248,0.311,112.0,111.0,101.0,108.0,101.0,107.0,101.0,79.0,1.8,109.0,122.0,17.0,1.9,13.6,7.7,37.5,1.3,0.9,14.1,31.1,0.3,1.1,1.5,0.034,2.0,-1.7,0.3,1.2,15,0.163,2024
Anfernee Simons,SG,24.0,POR,46.0,46.0,34.4,22.6,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,3.5,3.9,0.916,0.512,0.538,0.146,0.537,93.0,116.0,75.0,94.0,106.0,93.0,60.0,136.0,-2.1,114.0,124.0,15.9,1.6,11.9,6.4,27.5,0.7,0.3,12.1,28.3,1.4,0.6,2.0,0.062,2.7,-2.5,0.2,0.8,14,0.263,2024
Paolo Banchero,PF,21.0,ORL,78.0,78.0,34.9,22.5,1.0,5.8,6.8,5.3,0.9,0.6,3.1,1.9,8.0,17.5,0.458,1.5,4.3,0.339,6.5,13.1,0.498,5.0,6.9,0.723,0.515,0.561,0.246,0.466,91.0,92.0,97.0,94.0,110.0,97.0,100.0,118.0,-6.5,110.0,114.0,17.4,3.5,20.8,12.1,25.2,1.3,1.6,13.1,29.8,0.7,4.1,4.7,0.083,1.3,0.0,1.3,2.3,6,0.575,2024
Jaren Jackson Jr.,C,24.0,MEM,66.0,66.0,32.2,22.5,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,7.8,17.6,0.444,1.8,5.5,0.32,6.0,12.1,0.501,5.1,6.3,0.808,0.587,0.615,0.217,0.522,92.0,50.0,159.0,107.0,102.0,106.0,89.0,132.0,-2.2,108.0,115.0,17.4,4.6,16.3,10.2,13.2,1.9,4.7,10.6,30.7,-0.3,2.9,2.6,0.058,0.0,0.4,0.4,1.3,13,0.338,2024
Dejounte Murray,SG,27.0,ATL,76.0,76.0,35.8,22.5,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,8.6,18.8,0.457,2.6,7.2,0.361,6.0,11.6,0.516,2.7,3.4,0.8,0.626,0.637,0.115,0.626,100.0,85.0,132.0,115.0,96.0,110.0,47.0,158.0,-3.0,116.0,122.0,17.8,2.5,15.7,8.8,28.0,2.0,0.8,11.2,26.9,2.9,1.7,4.6,0.08,2.4,-0.6,1.8,2.6,10,0.45,2024
Cam Thomas,SG,22.0,BRK,64.0,49.0,31.4,22.2,0.4,2.8,3.3,2.9,0.7,0.3,1.9,2.1,7.9,18.0,0.439,2.1,5.9,0.361,5.8,12.1,0.478,4.3,5.0,0.854,0.559,0.597,0.233,0.51,98.0,102.0,102.0,102.0,109.0,103.0,95.0,129.0,-6.9,111.0,121.0,15.8,1.6,11.0,6.1,15.5,1.1,0.7,8.4,30.7,0.7,1.3,2.1,0.049,0.4,-1.9,-1.5,0.2,11,0.4,2024
Kyle Kuzma,PF,28.0,WAS,70.0,70.0,32.6,22.2,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,2.7,3.4,0.775,0.548,0.58,0.198,0.0,115.0,101.0,0.0,100.0,107.0,100.0,81.0,0.0,-4.7,105.0,122.0,15.8,3.1,20.9,11.8,20.8,0.8,1.8,11.9,30.0,-1.4,1.3,-0.1,-0.002,0.5,-1.6,-1.1,0.5,14,0.188,2024
Karl-Anthony Towns,PF,28.0,MIN,60.0,60.0,32.8,22.1,1.5,6.9,8.4,3.0,0.7,0.7,2.8,3.3,7.9,15.5,0.506,2.2,5.3,0.423,5.6,10.3,0.55,4.2,4.8,0.874,0.578,0.596,0.418,0.051,120.0,108.0,73.0,106.0,78.0,103.0,171.0,13.0,0.8,117.0,111.0,19.2,6.1,24.8,15.9,14.7,1.1,1.8,13.8,27.8,2.4,3.6,6.0,0.147,1.9,1.0,2.8,2.4,2,0.688,2024
Pascal Siakam,PF,29.0,TOR,78.0,78.0,33.3,21.7,1.7,5.3,7.1,4.4,0.8,0.3,1.8,2.4,8.5,15.9,0.534,1.1,3.1,0.34,7.4,12.8,0.581,3.7,5.0,0.733,0.614,0.636,0.289,0.0,130.0,113.0,0.0,112.0,90.0,110.0,118.0,0.0,5.2,122.0,122.0,19.6,6.3,19.6,12.8,19.7,1.2,0.8,9.0,25.4,4.8,1.6,6.3,0.117,2.7,-0.6,2.0,2.7,12,0.313,2024
Miles Bridges,SF,25.0,CHO,68.0,66.0,37.7,21.3,1.0,6.3,7.4,3.4,1.0,0.5,2.0,1.7,8.2,17.7,0.462,2.3,6.6,0.35,5.9,11.1,0.528,2.6,3.1,0.825,0.578,0.625,0.424,0.433,107.0,118.0,90.0,106.0,98.0,108.0,173.0,110.0,-3.3,109.0,121.0,15.5,3.2,20.7,11.7,14.5,1.3,1.2,9.5,24.9,0.3,1.7,2.0,0.037,0.2,-1.3,-1.1,0.6,13,0.25,2024
Victor Wembanyama,C,20.0,SAS,70.0,70.0,29.6,21.3,2.3,8.3,10.6,3.8,1.2,3.6,3.6,2.2,7.7,16.6,0.465,1.8,5.5,0.322,5.9,11.1,0.535,4.1,5.1,0.797,0.522,0.538,0.17,0.336,99.0,103.0,82.0,95.0,85.0,93.0,70.0,85.0,8.4,105.0,108.0,23.1,9.0,33.6,21.1,21.5,2.0,10.1,16.1,32.4,-1.1,4.3,3.2,0.075,1.9,3.3,5.2,3.7,15,0.25,2024
Alperen Sengun,C,21.0,HOU,63.0,63.0,32.5,21.1,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,3.9,5.6,0.693,0.333,0.333,0.0,0.333,70.0,92.0,0.0,61.0,0.0,57.0,0.0,84.0,-1.3,119.0,113.0,22.0,10.3,23.1,16.6,25.3,1.8,2.1,12.5,27.2,3.4,3.1,6.5,0.153,3.1,1.7,4.9,3.5,11,0.488,2024
Jimmy Butler,PF,34.0,MIA,58.0,58.0,34.3,21.0,1.7,3.6,5.3,4.9,1.4,0.3,1.7,1.2,6.6,13.4,0.495,1.0,2.5,0.406,5.6,10.9,0.516,6.7,7.8,0.863,0.572,0.603,0.186,0.712,93.0,113.0,101.0,105.0,110.0,104.0,76.0,180.0,7.7,130.0,115.0,21.8,6.2,13.2,9.7,22.9,2.0,0.8,9.4,24.4,5.8,2.6,8.3,0.201,3.8,0.8,4.6,3.3,8,0.55,2024
Tyler Herro,SG,24.0,MIA,40.0,38.0,33.7,21.0,0.5,4.9,5.3,4.4,0.7,0.1,2.1,1.5,7.9,17.9,0.441,3.2,8.1,0.394,4.7,9.8,0.48,2.1,2.5,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,109.0,117.0,15.7,1.7,18.1,9.8,22.0,1.1,0.2,10.1,28.2,0.1,1.6,1.7,0.059,1.6,-0.7,0.9,1.0,8,0.55,2024
Jerami Grant,PF,29.0,POR,54.0,54.0,33.9,21.0,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,7.1,15.7,0.451,2.1,5.1,0.402,5.0,10.6,0.474,4.7,5.8,0.817,0.477,0.53,0.278,0.541,82.0,84.0,90.0,87.0,109.0,91.0,113.0,137.0,-1.1,114.0,122.0,15.3,2.3,10.9,6.3,13.7,1.2,1.7,10.5,25.9,1.4,1.1,2.5,0.065,1.0,-1.1,-0.1,0.9,14,0.263,2024
Jamal Murray,PG,26.0,DEN,57.0,57.0,31.7,20.9,0.7,3.4,4.1,6.6,1.0,0.7,2.1,1.8,7.9,16.6,0.479,2.4,5.7,0.424,5.5,10.9,0.507,2.6,3.1,0.848,0.493,0.533,0.221,0.594,82.0,78.0,98.0,90.0,107.0,92.0,90.0,150.0,5.1,120.0,117.0,20.4,2.8,12.8,7.9,31.3,1.6,1.8,10.6,28.0,3.4,1.9,5.3,0.142,4.3,-0.4,3.9,2.7,1,0.7,2024
Brandon Ingram,SF,26.0,NOP,63.0,63.0,33.0,20.9,0.7,4.4,5.1,5.8,0.8,0.6,2.6,2.3,7.8,16.0,0.49,1.3,3.8,0.356,6.5,12.2,0.532,3.9,4.9,0.801,0.436,0.486,0.257,0.337,81.0,77.0,85.0,80.0,104.0,84.0,105.0,85.0,-1.0,116.0,116.0,18.2,2.5,15.5,9.1,27.0,1.2,1.9,12.3,27.5,2.3,2.5,4.8,0.11,1.5,-0.2,1.2,1.7,6,0.6,2024
Tyrese Haliburton,PG,23.0,IND,67.0,66.0,32.3,20.3,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,7.3,15.3,0.476,2.9,7.8,0.367,4.4,7.5,0.589,2.9,3.3,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,130.0,121.0,23.1,1.9,12.7,7.3,44.9,1.8,1.7,11.9,24.9,6.9,1.6,8.5,0.188,7.3,-0.4,6.9,4.9,5,0.575,2024
Kristaps Porziņģis,C,28.0,BOS,57.0,57.0,29.6,20.1,1.7,5.5,7.2,2.0,0.7,1.9,1.6,2.7,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,4.5,5.3,0.858,0.486,0.499,0.095,0.365,94.0,105.0,61.0,89.0,91.0,86.0,39.0,92.0,-0.7,129.0,110.0,23.1,6.9,20.2,13.9,10.1,1.2,5.8,9.1,25.3,4.6,3.1,7.7,0.219,3.5,1.6,5.0,3.0,1,0.775,2024
RJ Barrett,SG,23.0,TOR,57.0,57.0,31.7,19.9,0.9,4.4,5.3,3.3,0.5,0.4,2.2,2.2,7.4,15.1,0.491,1.6,4.3,0.362,5.9,10.8,0.542,3.5,4.9,0.712,0.577,0.611,0.258,0.528,100.0,105.0,106.0,106.0,102.0,105.0,105.0,134.0,-2.1,113.0,121.0,16.1,3.5,17.3,10.3,16.6,0.9,1.1,11.1,26.6,1.3,1.2,2.5,0.065,0.6,-1.5,-1.0,0.5,12,0.313,2024
Scottie Barnes,SG,22.0,TOR,60.0,60.0,34.9,19.9,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,3.3,4.2,0.781,0.509,0.548,0.372,0.08,105.0,94.0,91.0,93.0,88.0,94.0,152.0,20.0,6.5,115.0,119.0,19.4,8.0,20.8,14.3,26.1,1.8,3.7,13.6,25.1,2.0,1.9,3.9,0.09,2.8,0.9,3.7,3.0,12,0.313,2024
Mikal Bridges,SF,27.0,BRK,80.0,80.0,35.1,19.9,0.9,3.8,4.6,3.7,1.0,0.4,2.1,1.4,7.0,16.0,0.437,2.7,7.3,0.373,4.3,8.7,0.491,3.2,4.0,0.814,0.466,0.49,0.203,0.331,89.0,91.0,75.0,85.0,85.0,84.0,83.0,84.0,-2.4,113.0,120.0,15.0,2.7,13.1,7.7,16.3,1.5,0.9,10.4,24.6,1.6,2.3,3.9,0.067,0.8,-1.0,-0.3,1.2,11,0.4,2024
Terry Rozier,PG-SG,29.0,MIA,61.0,60.0,33.4,19.8,0.6,3.5,4.0,5.6,1.0,0.3,1.7,1.7,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,2.8,3.2,0.869,0.601,0.648,0.674,0.022,127.0,113.0,0.0,110.0,91.0,112.0,275.0,6.0,-2.9,115.0,120.0,17.3,2.0,12.9,7.4,27.5,1.6,1.0,8.9,26.1,1.9,1.7,3.6,0.084,2.1,-0.7,1.5,1.8,8,0.55,2024
CJ McCollum,PG,32.0,NOP,64.0,64.0,32.6,19.8,0.6,3.8,4.3,4.6,1.0,0.6,1.6,1.9,7.3,15.9,0.458,3.5,8.4,0.424,3.7,7.5,0.496,1.8,2.1,0.83,0.447,0.482,0.211,0.263,89.0,92.0,55.0,82.0,96.0,83.0,86.0,67.0,-1.6,119.0,116.0,17.8,2.1,13.4,7.8,21.2,1.5,1.9,8.8,24.7,3.0,2.5,5.5,0.127,3.2,-0.2,3.0,2.6,6,0.6,2024
Jalen Green,SG,21.0,HOU,80.0,80.0,31.8,19.6,0.5,4.6,5.1,3.6,0.8,0.4,2.3,1.4,6.9,16.2,0.422,2.4,7.3,0.33,4.4,8.9,0.498,3.5,4.4,0.803,0.524,0.548,0.147,0.285,100.0,97.0,93.0,96.0,103.0,94.0,60.0,72.0,-4.1,108.0,117.0,14.7,1.8,16.8,9.3,17.5,1.3,1.0,11.4,27.6,-0.2,2.8,2.7,0.05,0.4,-0.8,-0.5,1.0,11,0.488,2024
Franz Wagner,SF,22.0,ORL,70.0,70.0,32.4,19.6,1.0,4.3,5.3,3.8,1.0,0.4,1.9,2.3,7.3,15.1,0.482,1.3,4.6,0.283,6.0,10.5,0.57,3.7,4.4,0.845,0.561,0.576,0.061,0.515,96.0,92.0,112.0,103.0,128.0,99.0,25.0,130.0,6.1,116.0,114.0,17.4,3.8,16.7,10.2,18.9,1.6,1.1,10.2,25.8,2.5,3.2,5.8,0.122,0.9,0.2,1.1,1.8,6,0.575,2024
Devin Vassell,SG,23.0,SAS,68.0,62.0,33.1,19.5,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9.0,0.544,2.4,3.0,0.801,0.704,0.707,0.407,0.0,148.0,129.0,0.0,129.0,81.0,122.0,166.0,0.0,1.1,114.0,121.0,15.7,1.4,12.4,6.8,19.2,1.6,0.8,8.6,23.8,1.7,1.5,3.2,0.069,0.9,-1.0,-0.1,1.1,15,0.25,2024
Zach LaVine,SG,28.0,CHI,25.0,23.0,34.9,19.5,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,6.8,15.0,0.452,2.4,6.8,0.349,4.4,8.3,0.536,3.5,4.1,0.854,0.557,0.582,0.176,0.57,94.0,95.0,107.0,102.0,101.0,100.0,72.0,144.0,-4.8,114.0,120.0,15.2,1.1,17.2,8.9,16.9,1.2,0.9,11.0,24.1,0.7,0.7,1.4,0.074,0.8,-0.7,0.1,0.5,9,0.475,2024
Domantas Sabonis,C,27.0,SAC,80.0,80.0,35.7,19.4,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.1,7.7,13.0,0.594,0.4,1.0,0.378,7.3,12.0,0.613,3.5,5.1,0.699,0.312,0.338,0.25,0.688,53.0,73.0,50.0,57.0,64.0,58.0,102.0,174.0,-3.4,127.0,115.0,23.1,11.9,35.5,23.3,33.7,1.2,1.5,17.9,22.4,7.6,4.0,11.6,0.194,4.0,2.5,6.5,6.1,9,0.563,2024
Jalen Williams,PF,22.0,OKC,69.0,69.0,31.6,19.3,0.5,3.5,4.1,4.6,1.1,0.6,1.8,2.5,7.6,14.1,0.538,1.5,3.4,0.428,6.1,10.7,0.574,2.6,3.2,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,123.0,117.0,19.0,2.2,13.0,7.8,21.2,1.8,1.9,10.2,24.0,4.1,2.5,6.6,0.145,1.9,0.3,2.2,2.3,3,0.688,2024
Bam Adebayo,C,26.0,MIA,69.0,69.0,34.4,19.3,2.2,8.3,10.5,4.0,1.1,0.9,2.3,2.3,7.4,14.4,0.516,0.2,0.6,0.359,7.2,13.9,0.522,4.2,5.5,0.757,0.523,0.571,0.383,0.039,109.0,96.0,98.0,96.0,96.0,98.0,156.0,10.0,-3.2,115.0,111.0,19.7,8.0,30.3,19.0,19.0,1.7,2.7,11.9,25.2,2.2,4.3,6.5,0.132,0.7,1.6,2.3,2.6,8,0.55,2024
Coby White,PG,23.0,CHI,77.0,76.0,36.5,19.0,0.5,4.0,4.6,5.2,0.6,0.2,2.1,2.4,6.8,15.3,0.444,2.7,7.2,0.379,4.1,8.1,0.502,2.7,3.3,0.837,0.47,0.506,0.209,0.507,82.0,83.0,88.0,86.0,100.0,87.0,85.0,128.0,2.3,115.0,122.0,14.3,1.8,13.7,7.6,20.9,0.9,0.7,11.3,22.8,2.5,1.6,4.1,0.071,0.6,-1.4,-0.7,0.9,9,0.475,2024
Collin Sexton,SG,25.0,UTA,78.0,51.0,26.6,18.7,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,4.1,4.7,0.859,0.571,0.584,0.088,0.622,95.0,105.0,104.0,104.0,103.0,101.0,36.0,157.0,4.2,124.0,126.0,19.7,4.1,7.6,5.9,29.6,1.5,0.8,12.1,27.8,4.9,0.3,5.2,0.12,3.7,-1.9,1.8,2.0,12,0.375,2024
D'Angelo Russell,PG,27.0,LAL,74.0,67.0,32.6,18.2,0.4,2.8,3.1,6.3,0.9,0.5,2.1,2.0,6.5,14.3,0.457,3.0,7.2,0.417,3.6,7.1,0.498,2.1,2.6,0.826,0.656,0.653,0.283,0.0,138.0,120.0,0.0,120.0,70.0,113.0,116.0,0.0,5.4,117.0,121.0,16.2,1.5,9.7,5.8,27.7,1.3,1.2,11.9,23.4,2.8,1.7,4.6,0.091,1.8,-0.8,0.9,1.8,10,0.563,2024
Darius Garland,PG,24.0,CLE,56.0,56.0,33.4,18.1,0.5,2.1,2.7,6.6,1.3,0.1,3.1,1.7,6.6,14.8,0.445,2.3,6.3,0.365,4.3,8.6,0.503,2.6,3.1,0.834,0.577,0.592,0.112,0.651,95.0,103.0,107.0,106.0,102.0,102.0,46.0,165.0,-1.8,110.0,118.0,14.5,2.0,7.7,4.9,29.7,2.0,0.3,15.9,25.7,0.4,1.9,2.3,0.06,0.2,-1.2,-1.0,0.5,4,0.588,2024
